Category,Type of inference,Description,Inference
,Inferred birth year,Based on the years of experience on your profile and other factors.,2001
,Inferred gender,Based on your first name and other factors.,MALE
,Inferred spoken languages,Based on your profile; your activity on LinkedIn; and other factors.,en; hi
,Inferred skills,Based on your experiences on your profile and other factors.,algorithms; distributed systems; pandas (software); matplotlib; data storage technologies; scikit-learn; mapreduce; tableau; tensorflow; software development; apache spark; web development; natural language processing (nlp); deep learning; hive; php; computer vision; business intelligence (bi); numpy; data management; development tools; leadership; c (programming language); apache pig
,Interests,"Member's inferred interests based on historical feed interactions, plus members' common industries, companies, skills, titles, and groups.",Data Management; Artificial Intelligence; Society and Culture; Business and Management; Technology
Career inferences,Business traveler,Based on factors such as your activity on LinkedIn and your profile.,true
Career inferences,Small or medium sized business owner,"Based on your current company on your profile, your job title, and other factors.",No
Career inferences,People leader,People leader at your company. Based on your experience on your profile and other factors.,No
Career inferences,Career stability,"Employee with consistency in industry, company, job title, and other factors.",No
Career inferences,Sales professional,Based on factors such as your experience and profile headline.,No
Career inferences,Growth stage of career,Based on factors such as your industry and experience on your profile.,No
Career inferences,Unemployment Status,Based on the current position on your profile and other factors.,No
Career inferences,Human resources professional,Based on factors such as your industry and profile headline.,No
Career inferences,Student,Based on your education on your profile and other factors.,No
Career inferences,Senior leader,Executive leader at your company. Based on your experience on your profile and other factors.,No
Career inferences,Likelihood to be a marketer,Based on your profile and other factors.,0.007541908472304384
Career inferences,Recruiter,Based on factors such as your experience and profile headline.,No
Career inferences,Job seeker,Based on your activity on LinkedIn and other factors.,Yes
Career inferences,Early stage of career,Early stage of career but not a student. Based on factors such as your industry and experience on your profile.,No
Inferred interests,Interested in oil and energy industry,Based on whether you follow companies in the oil and energy industry.,true
Inferred interests,Interested in higher education,Based on whether you follow companies in the higher education industry.,true
Inferred interests,Interested in media about technology,"Interested in technology media outlets, such as Venturebeat, Ted Conferneces, Wired, TechCrunch, Gizmodo, Engadget, Mashable, PCMag, Fast Company, Popular Science, The Verge, and Tech Dirt. Based on factors such as companies followed.",true
Job search inferences,Interested in a new job,Based on whether you searched for a job or clicked on a posting in the past 30 days.,true
LinkedIn Marketing Solutions (LMS) inferences,Decision maker for IT purchasing decisions,Whether you have influence over IT purchasing decisions for advertised products.,true
LinkedIn activity inferences,Active contributor who influences public opinion,"Active contributor on LinkedIn, such as in feed and in groups, who regularly influences public opinion and public policy. Based on factors such as your experience, industry, and activity in groups.",true