Date,Link,OptionText
2020-12-23 13:42:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6747495225146564608,No
2020-12-02 18:16:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6739871768418381824,Flutter
2020-12-01 05:00:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6739392261076979712, Histogram
2020-12-01 04:04:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6739096828127666176,May Be
2020-11-30 02:51:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6738797936286822400,1
2020-11-28 13:58:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6738414119994585088,I want power
2020-11-28 03:09:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6737262547289931776,Yes
2020-11-28 03:07:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6738287201257353216,True
2020-11-27 01:47:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6737705065349439488,Data Strategy
2020-11-23 07:56:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6736545796264747008,NO
2020-11-21 13:05:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6735864912062488576,How well they speak
2020-11-13 03:46:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6732515448082055169,Classification
2020-11-11 05:48:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6732139490825117696,25.00
2020-11-10 13:22:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6731794399459647488, All of the above
2020-11-10 13:21:55,https://www.linkedin.com/feed/update/urn:li:groupPost:3990648-6731856912100417536,ML - Machine Learning
2020-11-07 13:50:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6730323807606763520,Ahrefs
2020-11-06 17:43:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6730323023510982656,On page optimization
2020-10-23 17:29:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6725207880347205632,R
2020-10-23 13:11:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6725261666373763072,Clear & concise videos
2020-10-21 06:03:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6724444194905161728,Yes
2020-10-11 17:15:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6720927933428441088,ðŸ”¥Find time 2 undrstand urself
2020-10-01 09:42:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6717344550395920384,An Electric Vehicle
2020-09-23 08:59:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6714458011512950785,both R and Python
2020-09-17 10:52:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6712273731357597696,DBaaS (NoSQL)
2020-09-09 14:17:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6709124683293310976,Many algorithms! What matters?
2020-09-09 14:13:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6709443004421214208,NO
2020-08-23 01:58:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6702989737117958144,Instagram
2020-08-22 09:24:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6702092990371954690,Yes
2020-08-22 01:35:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6701470240783548416,Internship (work experience) 
2020-08-21 15:11:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6702526596806406144,Friday 8pm AEST
2020-08-20 01:47:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6701892639198855168,easy to use 
2020-08-09 16:17:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6698177371972886528,Elon Musk
